"Animal bites might be caused by pets — such as cats, dogs, hamsters and turtles. Or bites may be from farm animals or wild animals.","Wash the wound with soap and water, Apply an antibiotic cream or ointment and cover the bite with a clean bandage."
bleeding in the tiny blood vessels in the skin surrounding the eye.,"Apply a cold compress soon after the injury, Apply warm or hot compresses."
blister,"try to keep it from breaking open. Unbroken skin over a blister may provide a natural barrier to bacteria, and it decreases the risk of infection."
bruise,"Apply an ice pack wrapped in a thin towel. Leave it in place for 20 minutes. Repeat several times for a day or two after the injury. This helps to reduce the swelling and pain, If the bruised area is swelling, put an elastic bandage around it, but not too tight."
burn,"Cool the burn, Remove rings or other tight items. Try to do this quickly and gently, before the burned area swells. Apply lotion. Bandage the burn. "
"Chemical burns by strong acids, drain cleaners, paint thinner, gasoline and many other substances.","Protect the burned person from further harm. Remove dry chemicals. Put on gloves and brush off any remaining material, Remove contaminated clothing or jewelry and rinse chemicals off for at least 20 minutes, in a shower if it's available. Protect eyes from the chemicals.Cover the burn."
"Chest pain that may feel like pressure, tightness, pain, squeezing or aching. Pain or discomfort that spreads to the shoulder, arm, back, neck, jaw, teeth or sometimes the upper belly.Shortness of breath.",Call 911 or emergency medical help. Start CPR if the person doesn't have a pulse or isn't breathing. 
choking,"If a choking person can cough forcefully, let the person keep coughing. If a person can't cough, talk, cry or laugh forcefully, give first aid to the person.Alternate between five blows and five thrusts until the blockage is dislodged."
"Blurry vision, gritty feeling in the eye.","Rinse your eye with clean water or a saline solution, Blink several times. Pull the upper eyelid over the lower eyelid"
Minor cuts and scrapes,"Wash your hands, Stop the bleeding. Clean the wound. Put on an antibiotic or petroleum jelly. cover the wound."
Fainting,"Lie down or sit down, Place your head between your knees"
electrical shock,"Try to prevent the injured person from becoming chilled, Apply a bandage. Cover any burned areas with a sterile gauze bandage, if available, or a clean cloth. Don't use a blanket or towel because loose fibers can stick to the burns."
motion sickness,"Focus on the horizon, Keep your head still, Avoid strong odors,Try ginger."
Nosebleeds,"Sit up and lean forward, Gently blow your nose, Pinch the nose"
toothache,"Rinse your mouth with warm water, Use dental floss to remove any food bits or plaque between your teeth, If the toothache is caused by trauma to the tooth, apply a cold compress to the outside of your cheek."
fracture,"Stop any bleeding, Keep the injured area from moving, Apply ice packs to limit swelling and help relieve pain."
dislocation,"Don't put off medical care, Don't move the joint, Put ice on the injured joint."
